,accuracy,precision,auc,f1,f1_macro,aupr,recall
fold_0,0.5555555555555556,0.6507936507936508,0.46013986013986014,0.6949152542372882,0.43836671802773497,0.6680153509864593,0.7454545454545455
fold_1,0.5802469135802469,0.6567164179104478,0.4545454545454546,0.7213114754098361,0.43565573770491806,0.6959028711365413,0.8
fold_2,0.5925925925925926,0.6666666666666666,0.44125874125874126,0.7272727272727273,0.4611973392461197,0.6758113179338286,0.8
fold_3,0.5432098765432098,0.6491228070175439,0.5720164609053499,0.6666666666666666,0.47058823529411764,0.7837064244892321,0.6851851851851852
fold_4,0.6,0.6964285714285714,0.527065527065527,0.7090909090909091,0.5345454545454545,0.6954443315353095,0.7222222222222222
mean,0.574320987654321,0.663945622763376,0.49100520878298654,0.7038514065354854,0.468070696963669,0.7037760592162742,0.7505723905723907
std,0.024230262568586847,0.019413253655958095,0.056169083983395623,0.0242044642277536,0.040017278735218625,0.04631717574898416,0.049978965975543986
