dataset,model,fold,macro_f1,accuracy,n_test
prostate,P-NET,1,88.4324206984506,89.65517241379311,203.0
prostate,P-NET,2,81.11168831168831,82.17821782178217,202.0
prostate,P-NET,3,84.07265718541015,86.63366336633663,202.0
prostate,P-NET,4,80.09852216748769,81.68316831683168,202.0
prostate,P-NET,5,82.84646739130434,85.14851485148515,202.0
prostate,P-NET,mean,83.31235115086822,85.05974735404575,1011.0
prostate,P-NET,std,2.9045426070839726,2.9430433636615674,
