rank,gene,importance,recursion_depth
1,A2ML1,1.0,2.658
2,ABO,1.0,3.618
3,ACTL8,1.0,1.000
4,ADAM12,1.0,1.000
5,ADAM22,1.0,3.912
6,AFF3,1.0,1.300
7,AFP,1.0,2.832
8,AGER,1.0,2.738
9,AHNAK2,1.0,1.000
10,ALDH3B2,1.0,3.633
11,ALDOC,1.0,1.006
12,ALG1L,1.0,2.023
13,ALPPL2,1.0,3.847
14,AMN,1.0,3.908
15,ANKS1B,1.0,3.686
16,ANLN,1.0,3.212
17,ANXA8,1.0,1.000
18,ANXA9,1.0,3.059
19,AQP5,1.0,3.105
20,ASAM,1.0,3.870
21,ASB5,1.0,1.063
22,BCL2,1.0,1.000
23,BRIP1,1.0,1.000
24,C2orf72,1.0,1.000
25,C7orf57,1.0,1.342
26,C7orf58,1.0,2.750
27,CACNB4,1.0,2.826
28,CADM1,1.0,2.751
29,CATSPER1,1.0,1.000
30,CCL11,1.0,3.220
31,CCL19,1.0,3.996
32,CCL28,1.0,1.000
33,CCL3L1,1.0,1.008
34,CCL8,1.0,3.455
35,CD3E,1.0,3.377
36,CD7,1.0,2.145
37,CDC20,1.0,1.000
38,CDC45,1.0,3.461
39,CDKN2B,1.0,3.304
40,CENPI,1.0,3.281
41,CFI,1.0,1.981
42,CHRDL1,1.0,1.000
43,CIDEA,1.0,1.023
44,CLDN6,1.0,3.495
45,CLIC6,1.0,3.541
46,CLSTN2,1.0,1.000
47,CNTNAP2,1.0,2.948
48,COL14A1,1.0,3.438
49,COL4A3,1.0,3.591
50,COL6A3,1.0,2.526
51,CPA4,1.0,3.117
52,CPAMD8,1.0,3.946
53,CRLF1,1.0,2.803
54,CRTAC1,1.0,3.530
55,CT62,1.0,1.000
56,CYP4Z2P,1.0,1.000
57,DGCR9,1.0,3.633
58,DLX4,1.0,1.226
59,DLX5,1.0,2.662
60,DNAH5,1.0,2.868
61,DNASE1L2,1.0,1.602
62,DNASE2B,1.0,2.761
63,DNER,1.0,3.778
64,DOC2B,1.0,3.946
65,DYNC1I1,1.0,2.530
66,EDA2R,1.0,3.966
67,EDNRB,1.0,3.667
68,EFHB,1.0,3.572
69,ELAVL2,1.0,1.000
70,ENHO,1.0,3.342
71,EPPK1,1.0,2.669
72,ERP27,1.0,3.855
73,EXTL1,1.0,3.728
74,FADS2,1.0,2.696
75,FAM111B,1.0,1.006
76,FAM154B,1.0,3.530
77,FAM178B,1.0,2.076
78,FAM190A,1.0,2.872
79,FAM5B,1.0,3.790
80,FAM83E,1.0,2.853
81,FCAMR,1.0,1.000
82,FGFR4,1.0,3.365
83,FIBIN,1.0,3.771
84,FLT3,1.0,3.350
85,FMO1,1.0,3.331
86,FREM2,1.0,3.526
87,FUT3,1.0,3.629
88,GABRQ,1.0,2.730
89,GAD1,1.0,3.029
90,GALNTL1,1.0,3.424
91,GDF5,1.0,3.901
92,GJB2,1.0,3.296
93,GPNMB,1.0,3.602
94,GRIA4,1.0,3.996
95,GRIN2A,1.0,2.337
96,GSDMC,1.0,3.572
97,HAS3,1.0,3.663
98,HGF,1.0,3.484
99,HLA-DQB1,1.0,3.149
100,HLA-DRB6,1.0,3.421
101,HNF4G,1.0,2.776
102,HOXA1,1.0,2.941
103,HOXD10,1.0,3.308
104,HOXD13,1.0,1.956
105,HOXD4,1.0,3.346
106,HOXD9,1.0,3.174
107,HS3ST6,1.0,3.866
108,HSPB6,1.0,1.000
109,HYDIN,1.0,3.610
110,IGF2,1.0,1.000
111,IGFL3,1.0,1.402
112,IL1RL1,1.0,1.482
113,ITGA9,1.0,3.423
114,ITLN2,1.0,1.000
115,KCNB1,1.0,3.595
116,KCNK1,1.0,2.992
117,KIAA1244,1.0,1.851
118,KIF1A,1.0,3.052
119,KLK13,1.0,3.717
120,LAMA1,1.0,3.526
121,LASS1,1.0,3.163
122,LEMD1,1.0,3.897
123,LIN28B,1.0,1.000
124,LINGO4,1.0,3.197
125,LMO3,1.0,2.872
126,LOC154822,1.0,3.289
127,LOC220594,1.0,3.402
128,LOC283174,1.0,1.000
129,LOC284276,1.0,3.468
130,LOC440925,1.0,1.000
131,LOC728264,1.0,2.356
132,LONRF2,1.0,3.530
133,LY6D,1.0,3.679
134,LYPD1,1.0,3.069
135,LYZ,1.0,3.371
136,MAG,1.0,3.415
137,MAGEA1,1.0,2.780
138,MAGEA12,1.0,3.432
139,MAGED4,1.0,1.728
140,MAPK4,1.0,1.000
141,MCOLN3,1.0,3.744
142,METTL7B,1.0,4.000
143,MGC45800,1.0,1.000
144,MGP,1.0,3.694
145,MMP10,1.0,2.811
146,MPPED1,1.0,3.625
147,MRAP2,1.0,1.134
148,MS4A1,1.0,2.669
149,MUC21,1.0,1.623
150,MYBPH,1.0,3.748
151,MYOCD,1.0,3.426
152,MYT1,1.0,2.967
153,NAP1L6,1.0,3.824
154,NELL2,1.0,3.526
155,NIPAL1,1.0,2.887
156,NKG7,1.0,3.736
157,NKX2-3,1.0,3.576
158,NLRP5,1.0,3.774
159,NOD2,1.0,3.008
160,NPW,1.0,3.744
161,NR0B1,1.0,1.141
162,NR4A3,1.0,1.000
163,NRXN1,1.0,1.000
164,NTNG1,1.0,3.239
165,OIT3,1.0,1.000
166,OPRK1,1.0,1.000
167,OR2W3,1.0,3.136
168,P2RY10,1.0,3.606
169,PACSIN1,1.0,3.855
170,PADI3,1.0,1.000
171,PARD3B,1.0,3.602
172,PCDHA4,1.0,3.901
173,PCP4L1,1.0,2.983
174,PDGFD,1.0,3.549
175,PIGR,1.0,2.650
176,PLA2G3,1.0,3.985
177,PLEKHH1,1.0,3.400
178,PON3,1.0,3.338
179,POPDC3,1.0,1.000
180,POU5F1,1.0,2.918
181,PPFIA4,1.0,1.002
182,PPP1R14D,1.0,3.621
183,PRDM13,1.0,1.011
184,PRSS50,1.0,3.361
185,PSG1,1.0,1.000
186,PVRL1,1.0,3.568
187,RAB39B,1.0,1.587
188,RADIL,1.0,2.876
189,RASGRP1,1.0,3.679
190,RHOH,1.0,2.899
191,RLN2,1.0,3.897
192,ROR1,1.0,3.591
193,RPL9,1.0,1.000
194,RTN4RL2,1.0,3.618
195,RYR1,1.0,2.564
196,SBK1,1.0,3.061
197,SCN3B,1.0,1.287
198,SCN4B,1.0,2.451
