rank,gene,importance,recursion_depth
1,AURKA,1.0,1.945
2,C20orf56,1.0,3.017
3,CCBE1,1.0,2.174
4,ENAM,1.0,1.335
5,FGA,1.0,1.983
6,GNA15,1.0,2.249
7,HABP2,1.0,1.700
8,SOX2,1.0,1.120
9,?|652919,0.0,
10,?|729884,0.0,
11,?|90288,0.0,
12,A2BP1,0.0,
13,A2ML1,0.0,
14,AADAC,0.0,
15,AADACL2,0.0,
16,ABAT,0.0,
17,ABCA10,0.0,
18,ABCA12,0.0,
19,ABCA13,0.0,
20,ABCA3,0.0,
21,ABCA4,0.0,
22,ABCA6,0.0,
23,ABCA8,0.0,
24,ABCA9,0.0,
25,ABCB5,0.0,
26,ABCC11,0.0,
27,ABCC12,0.0,
28,ABCC13,0.0,
29,ABCC2,0.0,
30,ABCC3,0.0,
31,ABCC5,0.0,
32,ABCC6,0.0,
33,ABCC6P1,0.0,
34,ABCC6P2,0.0,
35,ABCC8,0.0,
36,ABCD2,0.0,
37,ABHD12B,0.0,
38,ABI3BP,0.0,
39,ABO,0.0,
40,ABP1,0.0,
41,ACADL,0.0,
42,ACAN,0.0,
43,ACBD7,0.0,
44,ACE2,0.0,
45,ACHE,0.0,
46,ACMSD,0.0,
47,ACOT11,0.0,
48,ACOX2,0.0,
49,ACOXL,0.0,
50,ACPP,0.0,
51,ACSL5,0.0,
52,ACSM1,0.0,
53,ACSM3,0.0,
54,ACSM5,0.0,
55,ACSS3,0.0,
56,ACTA1,0.0,
57,ACTBL2,0.0,
58,ACTC1,0.0,
59,ACTG2,0.0,
60,ACTL8,0.0,
61,ACTN2,0.0,
62,ACVR1C,0.0,
63,ACY3,0.0,
64,ADAM12,0.0,
65,ADAM22,0.0,
66,ADAM23,0.0,
67,ADAM28,0.0,
68,ADAM32,0.0,
69,ADAM33,0.0,
70,ADAM6,0.0,
71,ADAMDEC1,0.0,
72,ADAMTS12,0.0,
73,ADAMTS14,0.0,
74,ADAMTS15,0.0,
75,ADAMTS16,0.0,
76,ADAMTS18,0.0,
77,ADAMTS19,0.0,
78,ADAMTS2,0.0,
79,ADAMTS20,0.0,
80,ADAMTS5,0.0,
81,ADAMTS8,0.0,
82,ADAMTSL3,0.0,
83,ADAMTSL5,0.0,
84,ADARB2,0.0,
85,ADCY1,0.0,
86,ADCY2,0.0,
87,ADCY5,0.0,
88,ADCY8,0.0,
89,ADCYAP1,0.0,
90,ADD2,0.0,
91,ADH1A,0.0,
92,ADH1B,0.0,
93,ADH1C,0.0,
94,ADH7,0.0,
95,ADIPOQ,0.0,
96,ADM,0.0,
97,ADORA1,0.0,
98,ADORA2B,0.0,
99,ADPRHL1,0.0,
100,ADRA1B,0.0,
101,ADRA2A,0.0,
102,ADRA2C,0.0,
103,ADRB1,0.0,
104,ADRB2,0.0,
105,AFAP1L2,0.0,
106,AFF2,0.0,
107,AFF3,0.0,
108,AFP,0.0,
109,AGER,0.0,
110,AGPAT9,0.0,
111,AGR2,0.0,
112,AGR3,0.0,
113,AGT,0.0,
114,AGTR1,0.0,
115,AGTR2,0.0,
116,AGXT2L1,0.0,
117,AHNAK2,0.0,
118,AIF1L,0.0,
119,AIM1L,0.0,
120,AIM2,0.0,
121,AJAP1,0.0,
122,AK3L1,0.0,
123,AK5,0.0,
124,AKAP2,0.0,
125,AKR1B10,0.0,
126,AKR1B15,0.0,
127,AKR1C1,0.0,
128,AKR1C2,0.0,
129,AKR1C3,0.0,
130,AKR1E2,0.0,
131,AKR7A3,0.0,
132,ALB,0.0,
133,ALDH1A1,0.0,
134,ALDH1A2,0.0,
135,ALDH1A3,0.0,
136,ALDH1L1,0.0,
137,ALDH3A1,0.0,
138,ALDH3B1,0.0,
139,ALDH3B2,0.0,
140,ALDOC,0.0,
141,ALG1L,0.0,
142,ALK,0.0,
143,ALOX12,0.0,
144,ALOX12B,0.0,
145,ALOX12P2,0.0,
146,ALOX15,0.0,
147,ALOX15B,0.0,
148,ALOX5,0.0,
149,ALOXE3,0.0,
150,ALPK2,0.0,
151,ALPL,0.0,
152,ALPP,0.0,
153,ALPPL2,0.0,
154,ALS2CR11,0.0,
155,ALX1,0.0,
156,AMBP,0.0,
157,AMDHD1,0.0,
158,AMH,0.0,
159,AMN,0.0,
160,AMOT,0.0,
161,AMPD1,0.0,
162,AMPH,0.0,
163,AMTN,0.0,
164,AMY1A,0.0,
165,AMY2B,0.0,
166,AMZ1,0.0,
167,ANGPT1,0.0,
168,ANGPTL1,0.0,
169,ANGPTL4,0.0,
170,ANGPTL7,0.0,
171,ANK1,0.0,
172,ANK2,0.0,
173,ANKFN1,0.0,
174,ANKRD1,0.0,
175,ANKRD2,0.0,
176,ANKRD22,0.0,
177,ANKRD29,0.0,
178,ANKRD30A,0.0,
179,ANKRD30B,0.0,
180,ANKRD34B,0.0,
181,ANKRD35,0.0,
182,ANKRD43,0.0,
183,ANKRD45,0.0,
184,ANKS1B,0.0,
185,ANLN,0.0,
186,ANO1,0.0,
187,ANO3,0.0,
188,ANO5,0.0,
189,ANPEP,0.0,
190,ANXA1,0.0,
191,ANXA10,0.0,
192,ANXA2P3,0.0,
193,ANXA3,0.0,
194,ANXA8,0.0,
195,ANXA8L2,0.0,
196,ANXA9,0.0,
197,AOAH,0.0,
198,AOC3,0.0,
199,AOX1,0.0,
200,AP3B2,0.0,
