dataset,model,fold,macro_f1,accuracy,n_test
prostate,MOGONET,1,22.813688212927758,29.55665024630542,203.0
prostate,MOGONET,2,68.58294930875577,73.26732673267327,202.0
prostate,MOGONET,3,51.61994999342019,54.95049504950495,202.0
prostate,MOGONET,4,36.0994629588759,36.13861386138614,202.0
prostate,MOGONET,5,45.341524060260355,63.366336633663366,202.0
prostate,MOGONET,mean,44.891514906847995,51.45588450470664,1011.0
prostate,MOGONET,std,15.306789473660942,16.395154320133575,
