dataset,model,fold,macro_f1,accuracy,n_test
stad,MOGONET,1,31.40495867768595,45.78313253012048,83.0
stad,MOGONET,2,46.09535878346269,50.602409638554214,83.0
stad,MOGONET,3,40.078048780487805,55.42168674698795,83.0
stad,MOGONET,4,55.53571428571429,56.62650602409639,83.0
stad,MOGONET,5,35.011655011655016,37.80487804878049,82.0
stad,MOGONET,mean,41.62514710780115,49.247722597707906,414.0
stad,MOGONET,std,8.533120345145484,6.889724680364536,
