rank,gene,importance,recursion_depth
1,AADACL2,1.0,2.707
2,ABCA13,1.0,1.400
3,ABCA4,1.0,2.815
4,ABCC5,1.0,3.679
5,ABI3BP,1.0,3.815
6,ACSS3,1.0,3.151
7,ACTC1,1.0,1.748
8,ADAMTS19,1.0,2.231
9,ADH1C,1.0,3.715
10,ADM,1.0,2.652
11,AGTR2,1.0,3.973
12,AJAP1,1.0,1.306
13,AKR1B15,1.0,2.054
14,AKR1C3,1.0,3.480
15,ALDH1A1,1.0,1.117
16,ALOXE3,1.0,3.904
17,ALPPL2,1.0,3.946
18,ALX1,1.0,2.692
19,ANK1,1.0,3.417
20,ANKRD2,1.0,2.044
21,APOBEC2,1.0,1.983
22,ARPP21,1.0,3.736
23,AZU1,1.0,3.065
24,B4GALNT2,1.0,1.771
25,BCHE,1.0,1.155
26,BCL11B,1.0,1.736
27,BRIP1,1.0,2.413
28,C10orf93,1.0,2.778
29,C11orf87,1.0,3.885
30,C12orf54,1.0,1.895
31,C15orf42,1.0,3.985
32,C1orf168,1.0,2.719
33,C3orf15,1.0,3.065
34,C7orf58,1.0,2.585
35,CA12,1.0,1.000
36,CALB1,1.0,2.685
37,CALCA,1.0,3.040
38,CBLC,1.0,1.893
39,CCDC158,1.0,3.323
40,CCDC65,1.0,3.780
41,CCL11,1.0,4.000
42,CCL17,1.0,2.662
43,CD19,1.0,3.765
44,CD79A,1.0,2.377
45,CEACAM4,1.0,3.143
46,CEACAM6,1.0,2.363
47,CELF5,1.0,3.099
48,CENPE,1.0,3.740
49,CFB,1.0,2.851
50,CH25H,1.0,3.488
51,CHRNA9,1.0,3.010
52,CLDN1,1.0,2.618
53,CNTFR,1.0,3.446
54,COL19A1,1.0,2.849
55,COL5A2,1.0,3.038
56,CPA4,1.0,1.465
57,CSAG1,1.0,2.853
58,CT45A5,1.0,1.157
59,CTTNBP2,1.0,1.015
60,CXCL5,1.0,2.126
61,CXorf49B,1.0,2.486
62,CYP4B1,1.0,2.468
63,CYorf15A,1.0,2.268
64,DCC,1.0,3.415
65,DEGS2,1.0,1.031
66,DIRAS2,1.0,1.002
67,DLGAP1,1.0,3.547
68,DLX3,1.0,1.975
69,DPEP1,1.0,1.000
70,DPYSL4,1.0,2.681
71,EBF2,1.0,1.908
72,EEF1A2,1.0,3.981
73,EIF1AY,1.0,3.076
74,ELAVL2,1.0,1.780
75,ELN,1.0,3.866
76,EMX2,1.0,1.038
77,ENPP3,1.0,2.822
78,EPHA7,1.0,3.499
79,EPHB3,1.0,1.998
80,F13A1,1.0,1.010
81,FAM135B,1.0,1.759
82,FAM19A2,1.0,1.958
83,FAM72B,1.0,3.956
84,FCRLA,1.0,2.107
85,FGF2,1.0,2.237
86,FLJ40330,1.0,2.545
87,FLT3,1.0,3.558
88,FOLR3,1.0,2.761
89,FOXF1,1.0,2.067
90,FOXG1,1.0,2.662
91,FOXL2,1.0,1.036
92,GABRA5,1.0,3.836
93,GABRR1,1.0,1.996
94,GAL3ST2,1.0,3.050
95,GALNT14,1.0,3.587
96,GDF6,1.0,2.958
97,GJB3,1.0,2.371
98,GLOD5,1.0,3.136
99,GPR87,1.0,3.874
100,GPT,1.0,3.839
101,GSTA2,1.0,1.000
102,GTSE1,1.0,3.126
103,HKDC1,1.0,2.698
104,HOXD8,1.0,1.113
105,HRCT1,1.0,1.002
106,HS3ST5,1.0,3.836
107,HS6ST3,1.0,1.541
108,HSD17B3,1.0,1.094
109,IFI44L,1.0,1.000
110,IGF2,1.0,1.128
111,IGFL3,1.0,3.815
112,IL1F5,1.0,3.426
113,IL1F7,1.0,2.952
114,IL1R2,1.0,3.522
115,INE2,1.0,1.442
116,INHBB,1.0,3.740
117,INPP5J,1.0,3.616
118,IQGAP3,1.0,3.595
119,ITIH5L,1.0,1.084
120,KC6,1.0,3.637
121,KCNE4,1.0,1.746
122,KCNJ3,1.0,3.235
123,KCNMA1,1.0,3.774
124,KIAA1755,1.0,2.103
125,KLK8,1.0,2.927
126,KRT2,1.0,3.797
127,KRT34,1.0,2.013
128,KRT79,1.0,3.633
129,LAX1,1.0,1.000
130,LGALS7B,1.0,3.275
131,LIPG,1.0,2.503
132,LOC100128977,1.0,3.891
133,LOC100130933,1.0,3.795
134,LOC220594,1.0,2.977
135,LOC389033,1.0,3.683
136,LOC644165,1.0,3.333
137,LOC90246,1.0,3.908
138,LPO,1.0,1.943
139,LRFN2,1.0,3.606
140,LRRC17,1.0,1.925
141,LRTM2,1.0,3.916
142,LUZP2,1.0,3.633
143,MACROD2,1.0,3.948
144,MAGEA12,1.0,3.524
145,MAPK15,1.0,3.187
146,MATN2,1.0,3.296
147,MEGF10,1.0,3.696
148,MFAP4,1.0,2.111
149,MLPH,1.0,3.346
150,MLXIPL,1.0,3.585
151,MMP10,1.0,3.411
152,MMP23A,1.0,2.505
153,MMP3,1.0,3.063
154,MOGAT2,1.0,2.815
155,MS4A1,1.0,3.730
156,MT1E,1.0,2.849
157,MT1L,1.0,1.505
158,MUC6,1.0,1.249
159,MYBPH,1.0,3.652
160,MYF6,1.0,3.396
161,NAP1L6,1.0,1.792
162,NEB,1.0,1.000
163,NEFH,1.0,3.866
164,NEK2,1.0,3.851
165,NKAIN2,1.0,3.570
166,NKPD1,1.0,1.625
167,NNMT,1.0,3.048
168,NOS1,1.0,1.956
169,NPR3,1.0,2.973
170,NR5A1,1.0,3.826
171,NWD1,1.0,2.589
172,OMD,1.0,3.294
173,OTOS,1.0,3.574
174,PACRG,1.0,3.008
175,PAQR5,1.0,2.424
176,PAX9,1.0,2.646
177,PCDHA12,1.0,2.614
178,PCDHA5,1.0,2.467
179,PDK4,1.0,2.977
180,PDZRN3,1.0,3.776
181,PIWIL2,1.0,2.924
182,PKDCC,1.0,2.424
183,PLCH1,1.0,3.824
184,PON1,1.0,2.340
185,PRAME,1.0,3.065
