rank,gene,importance,recursion_depth
1,ABHD12B,1.0,3.126
2,ACE2,1.0,3.530
3,ACSS3,1.0,2.792
4,ACY3,1.0,2.820
5,ADAM33,1.0,2.820
6,ADAMTS12,1.0,2.906
7,ADAMTS2,1.0,2.501
8,ADD2,1.0,3.216
9,ADRA2B,1.0,1.000
10,AFF3,1.0,2.772
11,AGR2,1.0,2.711
12,AK5,1.0,2.952
13,AKR1B15,1.0,3.025
14,AKR1E2,1.0,2.612
15,AMOT,1.0,3.027
16,AMPH,1.0,2.994
17,ANGPT1,1.0,3.252
18,APBA2,1.0,1.304
19,APOBEC3A,1.0,2.675
20,ARX,1.0,2.774
21,ASB5,1.0,3.547
22,ASRGL1,1.0,2.566
23,ATP6V0A4,1.0,1.662
24,B3GNT4,1.0,3.033
25,BLK,1.0,2.241
26,BMPER,1.0,2.711
27,BPIL1,1.0,3.285
28,C19orf21,1.0,2.457
29,C19orf46,1.0,2.635
30,C1QTNF3,1.0,2.641
31,C1orf161,1.0,3.040
32,C1orf194,1.0,3.057
33,C21orf125,1.0,3.054
34,C4orf39,1.0,3.197
35,C5orf46,1.0,3.310
36,C8orf73,1.0,2.990
37,CBLN4,1.0,1.122
38,CD1E,1.0,3.029
39,CD40LG,1.0,2.805
40,CH25H,1.0,1.321
41,CHI3L2,1.0,2.164
42,CIDEC,1.0,3.268
43,CITED4,1.0,2.348
44,CKMT1B,1.0,2.994
45,CLIC3,1.0,2.683
46,CLU,1.0,2.654
47,COL28A1,1.0,3.140
48,COL5A1,1.0,2.597
49,COL5A2,1.0,2.809
50,COX6B2,1.0,3.157
51,CREB3L1,1.0,2.331
52,CRISP3,1.0,3.423
53,CST1,1.0,2.816
54,CTSL2,1.0,2.987
55,CXCL11,1.0,2.598
56,CXCL2,1.0,2.071
57,CXCL5,1.0,3.019
58,CYP11A1,1.0,2.585
59,DAPK2,1.0,3.348
60,DEGS2,1.0,3.122
61,DKK1,1.0,3.430
62,DLX4,1.0,3.193
63,DLX6,1.0,2.920
64,DLX6AS,1.0,2.562
65,DMBX1,1.0,1.203
66,DMRTA2,1.0,3.023
67,DNAJC12,1.0,3.107
68,DNAJC5B,1.0,2.428
69,DPP10,1.0,3.015
70,DSC1,1.0,3.382
71,DUOX2,1.0,1.000
72,EPHA3,1.0,3.029
73,FAM153A,1.0,2.382
74,FAM181B,1.0,3.013
75,FAM3B,1.0,3.071
