dataset,model,fold,macro_f1,accuracy,n_test
pan_meta_pri_3modal,MOGONET,1,86.67924014291853,97.84633294528521,1718.0
pan_meta_pri_3modal,MOGONET,2,48.929208804283164,95.80663948747817,1717.0
pan_meta_pri_3modal,MOGONET,3,4.024594745667971,4.19336051252184,1717.0
pan_meta_pri_3modal,MOGONET,4,99.26539797717044,99.88351776354106,1717.0
pan_meta_pri_3modal,MOGONET,5,86.39029803424224,98.2527664531159,1717.0
pan_meta_pri_3modal,MOGONET,mean,65.05774794085646,79.19652343238843,8586.0
pan_meta_pri_3modal,MOGONET,std,34.86518464934583,37.52406675918031,
