,loss,o1_f1,o1_loss,o2_f1,o2_loss,val_loss,val_o1_f1,val_o1_loss,val_o2_f1,val_o2_loss,learning_rate
0,5.9573798179626465,0.832770824432373,0.5832942128181458,0.6394906044006348,0.6783351898193359,5.510334014892578,0.8281481266021729,0.45226749777793884,0.935978889465332,0.649871289730072,9.999999747378752e-05
1,4.604104995727539,0.8262439370155334,0.38032159209251404,0.8543344736099243,0.5332621932029724,3.7649855613708496,0.8059259057044983,0.32701587677001953,0.8311111330986023,0.42336082458496094,9.999999747378752e-05
2,3.3982152938842773,0.7974744439125061,0.3052195906639099,0.8151149749755859,0.37104135751724243,3.1007375717163086,0.8207407593727112,0.29293590784072876,0.8185185194015503,0.32970455288887024,9.999999747378752e-05
3,2.9375553131103516,0.7931933999061584,0.2742712199687958,0.8093793392181396,0.3076058626174927,2.8238048553466797,0.8264549970626831,0.2723813056945801,0.7874074578285217,0.29128482937812805,9.999999747378752e-05
4,2.7129595279693604,0.7937811017036438,0.255382239818573,0.7924216389656067,0.27709537744522095,2.6891696453094482,0.8116401433944702,0.25870829820632935,0.8111110925674438,0.27289682626724243,9.999999747378752e-05
5,2.564812183380127,0.7811579704284668,0.24139733612537384,0.7940723299980164,0.2573276460170746,2.582037925720215,0.8042327761650085,0.24791033565998077,0.8205291628837585,0.25848186016082764,9.999999747378752e-05
6,2.4520604610443115,0.7732017040252686,0.23012763261795044,0.7888194918632507,0.24257488548755646,2.4665918350219727,0.8005290627479553,0.23676760494709015,0.8205291628837585,0.24337954819202423,9.999999747378752e-05
7,2.3640334606170654,0.7694611549377441,0.22061485052108765,0.7857300043106079,0.23113538324832916,2.358513593673706,0.796296238899231,0.22610889375209808,0.8101587295532227,0.2293749451637268,9.999999747378752e-05
8,2.265625238418579,0.771812379360199,0.2124149352312088,0.779519259929657,0.21803461015224457,2.2737503051757812,0.7925925254821777,0.21881745755672455,0.7985184788703918,0.21798761188983917,9.999999747378752e-05
9,2.193202495574951,0.7691524028778076,0.20506198704242706,0.7672286033630371,0.20856072008609772,2.2085886001586914,0.7777776718139648,0.2109437733888626,0.7874073386192322,0.20964935421943665,9.999999747378752e-05
10,2.127345085144043,0.764913022518158,0.19865520298480988,0.7562678456306458,0.19986297190189362,2.145353078842163,0.782010555267334,0.20420391857624054,0.7740740180015564,0.20140957832336426,9.999999747378752e-05
11,2.097388744354248,0.7615879774093628,0.1929260939359665,0.7600738406181335,0.19619104266166687,2.1161770820617676,0.7746031880378723,0.19780053198337555,0.7740740180015564,0.19813551008701324,9.999999747378752e-05
12,1.981361985206604,0.755187451839447,0.18746867775917053,0.7488815784454346,0.18024899065494537,1.9835255146026611,0.7731216549873352,0.1916227787733078,0.7681481242179871,0.1798059642314911,9.999999747378752e-05
13,1.976560115814209,0.7537742257118225,0.18265239894390106,0.7488163709640503,0.17996108531951904,1.999065637588501,0.7731216549873352,0.1876981109380722,0.7681481242179871,0.1822769194841385,9.999999747378752e-05
14,1.898983120918274,0.7518623471260071,0.1780623197555542,0.7453963160514832,0.16935572028160095,1.8777421712875366,0.7731216549873352,0.18053387105464935,0.7570370435714722,0.1660003811120987,9.999999747378752e-05
15,1.8596259355545044,0.7529429197311401,0.17370323836803436,0.7444462776184082,0.16414788365364075,1.8433287143707275,0.7708994746208191,0.17702102661132812,0.742222249507904,0.1613164246082306,9.999999747378752e-05
16,1.815828561782837,0.7528064250946045,0.1697632372379303,0.7456753849983215,0.15823407471179962,1.813918948173523,0.764973521232605,0.17285209894180298,0.7385185360908508,0.15750499069690704,9.999999747378752e-05
17,1.7792394161224365,0.75175541639328,0.1660897135734558,0.7401296496391296,0.1533011794090271,1.7376375198364258,0.764973521232605,0.16899679601192474,0.7222222089767456,0.14691747725009918,9.999999747378752e-05
18,1.7448232173919678,0.749220073223114,0.16251426935195923,0.7342693209648132,0.14868606626987457,1.7257568836212158,0.764973521232605,0.16587527096271515,0.72645503282547,0.14543861150741577,9.999999747378752e-05
19,1.6925824880599976,0.7463522553443909,0.15923258662223816,0.7243298292160034,0.14141419529914856,1.718269944190979,0.7575660943984985,0.1640048772096634,0.7242327928543091,0.14416173100471497,9.999999747378752e-05
20,1.6491408348083496,0.7436506748199463,0.156145378947258,0.7442561388015747,0.13532492518424988,1.612910270690918,0.7464550733566284,0.15851132571697235,0.6925926208496094,0.1298334300518036,9.999999747378752e-05
21,1.6361353397369385,0.7442324757575989,0.15312696993350983,0.7279418706893921,0.13361422717571259,1.6379978656768799,0.7464550733566284,0.156610369682312,0.700529158115387,0.13339219987392426,9.999999747378752e-05
