,accuracy,precision,auc,f1,f1_macro,aupr,recall
fold_0,0.4939759036144578,0.5294117647058824,0.5163742690058479,0.5625,0.48125,0.5342024779787011,0.6
fold_1,0.4819277108433735,0.5294117647058824,0.43066980023501766,0.5567010309278351,0.4667563125653668,0.5236973558747916,0.5869565217391305
fold_2,0.5301204819277109,0.5813953488372093,0.5299647473560516,0.5617977528089888,0.5276521231577411,0.6060781766330284,0.5434782608695652
fold_3,0.5421686746987951,0.5666666666666667,0.4412455934195065,0.6415094339622641,0.5040880503144654,0.5077864191975567,0.7391304347826086
fold_4,0.47560975609756095,0.5217391304347826,0.4636636636636636,0.5274725274725275,0.46921571579105825,0.5270861919156618,0.5333333333333333
mean,0.5047605054363797,0.5457249350700846,0.47638361473601754,0.569996149034323,0.4897924403657263,0.539770124319948,0.6005797101449275
std,0.02970652229563758,0.02654473779888875,0.044599385464738385,0.04249286536700458,0.02581064756344125,0.03830773390393775,0.08240886076061876
