gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ABLIM2,cnv,,,,,
ABLIM3,mut,,,,,
ABLIM3,cnv,,,,,
ABO,mut,,,,,
ABO,cnv,,,,,
ABR,mut,,,,,
ABR,cnv,,,,,
ABRA,mut,,,,,
ABRA,cnv,,,,,
ABRACL,mut,,,,,
ABRACL,cnv,,,,,
ABT1,mut,,,,,
ABT1,cnv,,,,,
ABTB1,mut,,,,,
ABTB1,cnv,,,,,
ABTB2,mut,,,,,
ABTB2,cnv,,,,,
ACAA1,mut,,,,,
ACAA1,cnv,,,,,
ACAA2,mut,,,,,
ACAA2,cnv,,,,,
ACACA,mut,,,,,
ACACA,cnv,,,,,
ACACB,mut,,,,,
ACACB,cnv,,,,,
ACAD10,mut,,,,,
ACAD10,cnv,,,,,
ACAD11,mut,,,,,
ACAD11,cnv,,,,,
ACAD8,mut,,,,,
ACAD8,cnv,,,,,
ACAD9,mut,,,,,
ACAD9,cnv,,,,,
ACADL,mut,,,,,
ACADL,cnv,,,,,
ACADM,mut,,,,,
ACADM,cnv,,,,,
ACADS,mut,,,,,
ACADS,cnv,,,,,
ACADSB,mut,,,,,
ACADSB,cnv,,,,,
ACADVL,mut,,,,,
ACADVL,cnv,,,,,
ACAN,mut,,,,,
ACAN,cnv,,,,,
ACAP1,mut,,,,,
ACAP1,cnv,,,,,
ACAP2,mut,,,,,
ACAP2,cnv,,,,,
ACAP3,mut,,,,,
ACAP3,cnv,,,,,
ACAT1,mut,,,,,
ACAT1,cnv,,,,,
ACAT2,mut,,,,,
ACAT2,cnv,,,,,
ACBD3,mut,,,,,
ACBD3,cnv,,,,,
ACBD4,mut,,,,,
ACBD4,cnv,,,,,
ACBD5,mut,,,,,
ACBD5,cnv,,,,,
ACBD6,mut,,,,,
ACBD6,cnv,,,,,
ACBD7,mut,,,,,
ACBD7,cnv,,,,,
ACCS,mut,,,,,
ACCS,cnv,,,,,
ACCSL,mut,,,,,
ACCSL,cnv,,,,,
ACD,mut,,,,,
ACD,cnv,,,,,
ACE,mut,,,,,
ACE,cnv,,,,,
ACE2,mut,,,,,
ACE2,cnv,,,,,
ACER1,mut,,,,,
ACER1,cnv,,,,,
ACER2,mut,,,,,
ACER2,cnv,,,,,
ACER3,mut,,,,,
ACER3,cnv,,,,,
ACHE,mut,,,,,
ACHE,cnv,,,,,
ACIN1,mut,,,,,
ACIN1,cnv,,,,,
ACKR2,mut,,,,,
ACKR2,cnv,,,,,
ACKR3,mut,,,,,
ACKR3,cnv,,,,,
ACKR4,mut,,,,,
ACKR4,cnv,,,,,
ACLY,mut,,,,,
ACLY,cnv,,,,,
ACMSD,mut,,,,,
ACMSD,cnv,,,,,
ACN9,mut,,,,,
ACN9,cnv,,,,,
ACO1,mut,,,,,
ACO1,cnv,,,,,
ACO2,mut,,,,,
ACO2,cnv,,,,,
ACOT1,mut,,,,,
ACOT1,cnv,,,,,
ACOT11,mut,,,,,
ACOT11,cnv,,,,,
ACOT12,mut,,,,,
ACOT12,cnv,,,,,
ACOT13,mut,,,,,
ACOT13,cnv,,,,,
ACOT2,mut,,,,,
ACOT2,cnv,,,,,
ACOT4,mut,,,,,
ACOT4,cnv,,,,,
ACOT6,mut,,,,,
ACOT6,cnv,,,,,
ACOT7,mut,,,,,
ACOT7,cnv,,,,,
ACOT8,mut,,,,,
