,accuracy,precision,auc,f1,f1_macro,aupr,recall
fold_0,0.896551724137931,0.8285714285714286,0.9336040386303776,0.8467153284671532,0.884324206984506,0.8855880930953746,0.8656716417910447
fold_1,0.8217821782178217,0.6781609195402298,0.909452736318408,0.7662337662337663,0.8111168831168831,0.8260504847416492,0.8805970149253731
fold_2,0.8663366336633663,0.8703703703703703,0.9258153676064124,0.7768595041322314,0.8407265718541015,0.8877010643971386,0.7014925373134329
fold_3,0.8168316831683168,0.6835443037974683,0.9112076648841354,0.7448275862068966,0.8009852216748768,0.8224776878616865,0.8181818181818182
fold_4,0.8514851485148515,0.7903225806451613,0.8936051693404634,0.765625,0.8284646739130435,0.7930346699969251,0.7424242424242424
mean,0.8505974735404574,0.7701939205849317,0.9147369953559593,0.7800522370080095,0.8331235115086824,0.8429704000185548,0.8016734509271822
std,0.032904225109384476,0.08635196415956133,0.01553728814451589,0.03903214262755273,0.03247377356492113,0.041883505154936974,0.07769154995581597
