gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ACTN2,cnv,,,,,
ACTR1A,mut,,,,,
ACTR1A,cnv,,,,,
ACTR1B,mut,,,,,
ACTR1B,cnv,,,,,
ACTR2,mut,,,,,
ACTR2,cnv,,,,,
ACTR3,mut,,,,,
ACTR3,cnv,,,,,
ACTR3B,mut,,,,,
ACTR3B,cnv,,,,,
ACTRT2,mut,,,,,
ACTRT2,cnv,,,,,
ACVR1C,mut,,,,,
ACVR1C,cnv,,,,,
ACVR2A,mut,,,,,
ACVR2A,cnv,,,,,
ACY1,mut,,,,,
ACY1,cnv,,,,,
ACY3,mut,,,,,
ACY3,cnv,,,,,
ADAD1,mut,,,,,
ADAD1,cnv,,,,,
ADAM12,mut,,,,,
ADAM12,cnv,,,,,
ADAM15,mut,,,,,
ADAM15,cnv,,,,,
ADAM17,mut,,,,,
ADAM17,cnv,,,,,
ADAM18,mut,,,,,
ADAM18,cnv,,,,,
ADAM19,mut,,,,,
ADAM19,cnv,,,,,
ADAM2,mut,,,,,
ADAM2,cnv,,,,,
ADAM22,mut,,,,,
ADAM22,cnv,,,,,
ADAM23,mut,,,,,
ADAM23,cnv,,,,,
ADAM28,mut,,,,,
ADAM28,cnv,,,,,
ADAM29,mut,,,,,
ADAM29,cnv,,,,,
ADAM30,mut,,,,,
ADAM30,cnv,,,,,
ADAM32,mut,,,,,
ADAM32,cnv,,,,,
ADAM7,mut,,,,,
ADAM7,cnv,,,,,
ADAM8,mut,,,,,
ADAM8,cnv,,,,,
ADAM9,mut,,,,,
ADAM9,cnv,,,,,
ADAMDEC1,mut,,,,,
ADAMDEC1,cnv,,,,,
ADAMTS12,mut,,,,,
ADAMTS12,cnv,,,,,
ADAMTS13,mut,,,,,
ADAMTS13,cnv,,,,,
ADAMTS14,mut,,,,,
ADAMTS14,cnv,,,,,
ADAMTS16,mut,,,,,
ADAMTS16,cnv,,,,,
ADAMTS19,mut,,,,,
ADAMTS19,cnv,,,,,
ADAMTS2,mut,,,,,
ADAMTS2,cnv,,,,,
ADAMTS3,mut,,,,,
ADAMTS3,cnv,,,,,
ADAMTS4,mut,,,,,
ADAMTS4,cnv,,,,,
ADAMTS6,mut,,,,,
ADAMTS6,cnv,,,,,
ADAMTS9,mut,,,,,
ADAMTS9,cnv,,,,,
ADAMTSL1,mut,,,,,
ADAMTSL1,cnv,,,,,
ADAMTSL2,mut,,,,,
ADAMTSL2,cnv,,,,,
ADAMTSL4,mut,,,,,
ADAMTSL4,cnv,,,,,
ADAR,mut,,,,,
ADAR,cnv,,,,,
ADARB2,mut,,,,,
ADARB2,cnv,,,,,
ADC,mut,,,,,
ADC,cnv,,,,,
ADCK2,mut,,,,,
ADCK2,cnv,,,,,
ADCK5,mut,,,,,
ADCK5,cnv,,,,,
ADCY1,mut,,,,,
ADCY1,cnv,,,,,
ADCY10,mut,,,,,
ADCY10,cnv,,,,,
ADCY2,mut,,,,,
ADCY2,cnv,,,,,
ADCY3,mut,,,,,
ADCY3,cnv,,,,,
ADCY5,mut,,,,,
ADCY5,cnv,,,,,
ADCY8,mut,,,,,
ADCY8,cnv,,,,,
ADCYAP1R1,mut,,,,,
ADCYAP1R1,cnv,,,,,
ADD1,mut,,,,,
ADD1,cnv,,,,,
ADD2,mut,,,,,
ADD2,cnv,,,,,
ADD3,mut,,,,,
ADD3,cnv,,,,,
ADH1A,mut,,,,,
ADH1A,cnv,,,,,
ADH1B,mut,,,,,
ADH1B,cnv,,,,,
ADH4,mut,,,,,
ADH4,cnv,,,,,
ADH5,mut,,,,,
ADH5,cnv,,,,,
ADH6,mut,,,,,
ADH6,cnv,,,,,
ADH7,mut,,,,,
ADH7,cnv,,,,,
ADHFE1,mut,,,,,
ADHFE1,cnv,,,,,
ADI1,mut,,,,,
ADI1,cnv,,,,,
ADIPOQ,mut,,,,,
